,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,month,year,day,dayofweek
4800,274000.0,4,2.25,2090,7400,1.0,0,0,3,9,1670,420,1973,0,98023,47.3178,-122.38,2260,8000,11,2014,21,4
15865,464000.0,3,2.0,1630,6550,1.0,0,0,5,7,850,780,1912,0,98126,47.5452,-122.379,1440,6550,1,2015,21,2
9808,1175000.0,4,2.5,4700,49658,2.0,0,0,3,10,4700,0,1999,0,98075,47.5878,-122.022,2870,49658,1,2015,14,2
7155,250000.0,4,2.5,1800,8100,2.0,0,0,3,7,1800,0,1998,0,98038,47.3611,-122.047,1590,8100,6,2014,17,1
18129,382880.0,3,2.0,1620,9566,1.0,0,0,4,7,1620,0,1968,0,98059,47.474,-122.146,1660,10011,5,2015,11,0
9118,216180.0,2,1.0,1120,7797,1.0,0,0,3,6,1120,0,1948,0,98055,47.4871,-122.22,2180,7200,10,2014,21,1
857,450000.0,4,2.75,2980,13260,1.0,0,0,4,8,1800,1180,1979,0,98056,47.5152,-122.197,1920,10731,3,2015,10,1
19458,190000.0,4,1.75,1900,9861,1.0,0,0,4,7,1900,0,1967,0,98038,47.3615,-122.057,1720,7967,5,2015,6,2
1614,425000.0,3,1.0,1550,4160,1.5,0,0,4,6,1550,0,1926,0,98118,47.5387,-122.265,1590,5000,9,2014,3,2
7934,378500.0,4,2.0,1830,6000,1.0,0,0,5,7,1070,760,1953,0,98118,47.5453,-122.279,1830,5500,3,2015,30,0
2377,437000.0,5,2.0,2190,8316,1.0,0,0,3,7,1390,800,1961,0,98108,47.5488,-122.298,2010,8316,9,2014,9,1
13712,700000.0,4,2.5,2490,7694,2.0,0,0,3,8,2490,0,1987,0,98029,47.567,-122.016,2140,8126,5,2015,6,2
21062,670000.0,5,2.75,2900,5155,2.0,0,0,3,8,2900,0,2008,0,98075,47.5977,-122.008,2900,6176,3,2015,21,5
1409,425000.0,2,1.0,2110,4920,1.5,0,0,3,7,1460,650,1911,0,98103,47.6872,-122.339,1390,4732,9,2014,24,2
13045,435000.0,3,1.5,1740,6988,1.0,0,0,3,7,1600,140,1950,0,98133,47.7211,-122.33,1650,7500,9,2014,23,1
1279,403000.0,3,2.5,1700,4125,2.0,0,0,3,7,1700,0,2004,0,98065,47.5305,-121.854,1970,4105,4,2015,24,4
8219,688000.0,5,1.75,2250,13526,1.0,0,1,3,8,1350,900,1957,0,98125,47.7108,-122.279,2580,10078,4,2015,27,0
7945,237000.0,3,1.0,1160,6132,1.0,0,0,4,7,1160,0,1958,0,98056,47.5015,-122.173,1280,6132,7,2014,15,1
14848,400000.0,4,2.0,2070,10800,2.0,0,0,3,7,2070,0,1982,0,98011,47.7264,-122.237,1880,10800,12,2014,4,3
12579,215000.0,2,1.0,710,7200,1.0,0,0,3,6,710,0,1943,0,98178,47.4903,-122.245,960,7200,6,2014,13,4
17360,840000.0,4,1.75,2330,4000,2.0,0,0,5,8,1300,1030,1924,0,98105,47.666,-122.289,2040,4000,5,2014,28,2
9503,435000.0,4,2.75,2160,8148,1.0,0,0,3,7,1410,750,1978,0,98125,47.7261,-122.306,2060,8100,12,2014,17,2
472,1199000.0,4,2.75,4110,8400,2.0,0,1,3,9,3130,980,1928,2013,98125,47.717,-122.281,2820,8400,11,2014,13,3
13907,925000.0,5,5.5,5190,12637,2.0,0,2,3,11,5190,0,2001,0,98065,47.5424,-121.872,3840,12637,7,2014,1,1
3280,527000.0,2,1.75,1640,4080,1.0,0,0,3,7,840,800,1921,0,98105,47.6645,-122.326,1980,4080,6,2014,11,2
8610,559000.0,3,1.75,1700,6500,1.0,0,0,3,8,1700,0,1967,0,98115,47.6837,-122.284,1880,6000,3,2015,24,1
943,971000.0,5,3.5,4390,10140,2.0,0,0,3,9,3350,1040,2005,0,98125,47.7174,-122.282,2010,8400,8,2014,11,0
12351,1000000.0,5,3.0,3350,9450,2.0,0,0,5,8,2180,1170,1912,1980,98103,47.6705,-122.34,2660,4500,8,2014,25,0
10094,350000.0,3,1.75,2090,6258,1.0,0,0,3,7,1390,700,1956,0,98108,47.5503,-122.301,1790,5793,11,2014,1,5
7436,1310000.0,5,3.0,3650,16600,1.0,0,3,4,9,1860,1790,1978,0,98006,47.56,-122.144,3150,10400,11,2014,25,1
20230,550000.0,3,3.75,1580,1303,2.0,0,0,3,8,1340,240,2010,0,98144,47.5875,-122.315,1560,1294,4,2015,21,1
2629,705000.0,6,2.0,2570,4240,1.5,0,0,4,7,1970,600,1911,0,98115,47.6754,-122.307,2030,4240,8,2014,18,0
9788,725000.0,4,3.0,2420,12000,1.0,0,0,3,9,2420,0,1984,0,98077,47.7267,-122.063,3100,13020,9,2014,29,0
2396,335000.0,4,1.75,1670,9472,1.0,0,0,3,7,1100,570,1960,0,98106,47.5299,-122.357,1080,5195,9,2014,23,1
20334,425000.0,3,2.5,1950,4345,2.0,0,0,3,7,1950,0,2007,0,98065,47.5202,-121.873,2260,4345,3,2015,12,3
12920,329932.0,3,1.5,1460,5040,1.0,0,0,3,7,1100,360,1971,0,98133,47.7112,-122.357,2330,7560,5,2014,29,3
10226,136500.0,3,1.5,1420,8580,1.0,0,0,3,6,1420,0,1962,0,98023,47.3076,-122.362,1200,8580,5,2014,6,1
14268,130000.0,2,1.0,840,6654,1.0,0,0,3,7,840,0,1951,0,98133,47.7319,-122.335,1350,5831,10,2014,21,1
19765,390000.0,2,1.0,962,1992,2.0,0,0,3,7,962,0,2012,0,98115,47.6911,-122.313,1130,1992,1,2015,6,1
12964,455500.0,3,1.75,2290,19000,1.0,0,0,4,9,1650,640,1973,0,98042,47.3837,-122.158,2900,13034,2,2015,3,1
771,341500.0,3,1.5,1130,7223,1.0,0,0,4,7,1130,0,1961,0,98056,47.5089,-122.189,1320,7356,11,2014,13,3
6852,195000.0,3,1.5,1200,7800,1.0,0,0,4,7,1200,0,1958,0,98002,47.3137,-122.212,1390,8415,5,2015,5,1
1393,490000.0,2,1.0,880,6380,1.0,0,0,3,7,880,0,1938,1994,98115,47.6924,-122.322,1340,6380,5,2014,2,4
19064,495000.0,3,2.0,2660,192099,1.0,0,0,4,9,2660,0,1964,0,98022,47.2098,-122.016,2570,43561,7,2014,9,2
90,243500.0,4,2.5,1980,7403,2.0,0,0,3,7,1980,0,1988,0,98023,47.2897,-122.372,1980,7510,5,2014,22,3
18621,559950.0,5,3.5,2450,8193,2.0,0,0,3,9,2450,0,2005,0,98028,47.7721,-122.241,2310,8193,1,2015,14,2
11073,1662000.0,4,2.75,3520,19200,1.0,1,4,4,9,1950,1570,1951,0,98136,47.525,-122.393,2450,7000,10,2014,15,2
2709,545000.0,6,1.75,1820,6250,1.0,0,0,3,7,1130,690,1954,0,98116,47.579,-122.39,1820,5750,8,2014,8,4
12064,140000.0,3,1.0,1090,10114,1.0,0,0,4,7,1090,0,1955,0,98002,47.2975,-122.223,1380,7800,7,2014,29,1
16267,1058000.0,4,2.0,2290,11137,1.0,0,0,4,8,2290,0,1955,0,98004,47.5887,-122.201,2300,10463,5,2014,14,2
1076,310000.0,4,3.0,2010,7426,1.0,0,0,5,7,1090,920,1951,0,98178,47.5042,-122.265,1470,7426,2,2015,2,0
20585,552500.0,4,2.5,3260,6902,2.0,0,0,3,8,3260,0,2008,0,98059,47.4829,-122.156,3130,6588,1,2015,19,0
12950,250000.0,3,1.75,1628,286355,1.0,0,0,3,7,1628,0,1996,0,98092,47.2558,-122.122,1490,216344,2,2015,17,1
17726,455000.0,4,2.75,3030,117378,1.0,0,0,4,8,1680,1350,1959,0,98042,47.401,-122.135,2060,110957,8,2014,28,3
12794,726000.0,3,2.5,2040,10033,1.0,0,0,4,8,1420,620,1974,0,98005,47.6375,-122.173,2260,10115,8,2014,18,0
3380,485000.0,4,3.0,2340,7048,1.0,0,0,4,8,1340,1000,1979,0,98034,47.7306,-122.227,1440,8088,5,2014,5,0
14841,952000.0,3,2.5,2450,4400,2.0,0,0,4,9,1800,650,1922,0,98102,47.6439,-122.319,2220,5500,11,2014,4,1
9613,730000.0,6,2.75,3280,16449,1.0,0,0,4,7,1910,1370,1963,0,98007,47.5914,-122.134,2550,9532,3,2015,27,4
18921,565000.0,5,1.75,1910,9720,1.0,0,0,4,7,1390,520,1955,0,98006,47.5772,-122.159,1750,9720,8,2014,20,2
3438,1100000.0,3,2.5,2200,20000,1.0,0,1,3,7,1400,800,1952,0,98004,47.5809,-122.191,3050,11775,6,2014,21,5
14277,435000.0,3,2.5,1930,5790,2.0,0,0,4,7,1930,0,1988,0,98011,47.7733,-122.17,1790,4901,5,2015,10,6
12572,638000.0,3,2.0,1660,3729,1.0,0,0,5,7,970,690,1922,0,98116,47.5741,-122.414,1560,3729,6,2014,26,3
549,215000.0,2,1.0,1320,8865,1.0,0,0,4,6,1320,0,1943,0,98168,47.4949,-122.3,1190,6490,5,2014,28,2
7028,567000.0,3,2.5,2070,10908,2.0,0,0,3,8,2070,0,1986,0,98029,47.5665,-122.023,2220,10975,12,2014,19,4
18016,340000.0,3,2.5,3040,6255,2.0,0,0,3,7,3040,0,1999,0,98030,47.3817,-122.206,2670,6259,2,2015,23,0
14070,920000.0,5,3.0,2230,4400,2.0,0,0,3,7,1730,500,1913,0,98102,47.6404,-122.325,1280,1800,4,2015,10,4
17632,748000.0,4,2.5,3170,4979,2.0,0,0,4,7,2570,600,1925,0,98103,47.6655,-122.34,2060,5000,7,2014,23,2
19566,491500.0,4,1.75,2190,125452,1.0,0,2,3,9,2190,0,1968,0,98092,47.2703,-122.069,3000,125017,5,2014,2,4
6663,525000.0,4,2.5,2840,4750,2.0,0,0,3,9,2840,0,2002,0,98058,47.4511,-122.121,2460,4750,8,2014,20,2
20519,425000.0,2,2.5,1150,1027,3.0,0,0,3,8,1150,0,2008,0,98103,47.6534,-122.356,1360,1210,5,2014,7,2
7688,404600.0,3,1.0,1570,7727,1.0,0,2,4,8,1270,300,1958,0,98056,47.4821,-122.192,2440,7727,1,2015,16,4
100,850830.0,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,0,98102,47.6415,-122.315,2200,4500,6,2014,11,2
6790,539000.0,3,2.0,2070,9195,1.0,0,0,3,8,1220,850,1982,0,98074,47.6491,-122.061,2080,9551,12,2014,16,1
11690,412000.0,3,1.0,1660,6992,1.0,0,0,5,7,1260,400,1952,0,98155,47.7576,-122.318,1390,7359,8,2014,21,3
20806,374000.0,3,2.5,2185,6042,2.0,0,0,3,9,2185,0,2009,0,98030,47.3573,-122.202,2297,5876,4,2015,8,2
12902,374950.0,4,1.75,1660,8160,1.0,0,0,3,8,1660,0,1974,0,98058,47.4483,-122.129,1800,7684,1,2015,22,3
1134,303000.0,3,2.5,1560,4100,2.0,0,0,3,7,1560,0,1985,0,98055,47.4733,-122.189,1660,4400,2,2015,6,4
13438,785000.0,3,2.0,2090,5015,1.5,0,0,5,7,2090,0,1920,0,98112,47.6378,-122.301,1930,4250,8,2014,15,4
19001,940000.0,4,1.5,2430,3600,2.5,0,0,3,8,2430,0,1980,0,98112,47.6351,-122.285,2020,4800,4,2015,9,3
5681,725000.0,4,1.75,2190,9400,1.0,0,0,4,7,1450,740,1962,0,98033,47.6531,-122.196,1980,9000,8,2014,1,4
101,555000.0,3,2.0,1980,3478,1.5,0,0,4,7,1440,540,1929,0,98117,47.6775,-122.372,1610,3478,10,2014,27,0
16772,560000.0,3,1.0,1440,5000,2.0,0,0,3,7,1440,0,1910,0,98103,47.6741,-122.354,1850,4500,5,2014,13,1
17312,1735000.0,3,2.5,4310,32093,1.5,0,4,5,10,2510,1800,1982,0,98177,47.7624,-122.38,3810,26400,6,2014,13,4
4433,320000.0,4,2.75,2610,9077,1.0,0,0,4,8,1310,1300,1987,0,98058,47.4612,-122.147,1900,10500,7,2014,16,2
5556,578888.0,2,2.0,1060,4000,1.0,0,0,2,7,1000,60,1914,0,98103,47.6626,-122.337,1310,4000,3,2015,19,3
7431,575000.0,3,1.0,1740,9163,1.0,0,0,3,7,1740,0,1954,0,98125,47.705,-122.299,1490,6509,4,2015,2,3
21048,575000.0,4,2.5,2500,4945,2.0,0,0,3,9,2500,0,2013,0,98065,47.5185,-121.885,2760,6000,5,2014,19,0
9679,1695000.0,3,4.0,3910,5350,2.0,0,2,5,10,2610,1300,1933,0,98199,47.6393,-122.408,2890,5350,2,2015,9,0
3760,200000.0,3,1.0,960,7500,1.0,0,0,3,6,960,0,1953,0,98178,47.4966,-122.255,1250,6000,10,2014,20,0
18037,528000.0,2,0.75,840,40642,1.0,1,4,4,6,840,0,1937,0,98070,47.404,-122.447,1850,64069,6,2014,27,4
3727,375000.0,4,2.75,3140,24800,1.0,0,0,4,8,2080,1060,1971,0,98042,47.3782,-122.161,2850,12900,9,2014,9,1
16629,598000.0,5,2.25,2890,12478,2.0,0,0,3,9,2890,0,1977,0,98074,47.6295,-122.052,2570,11880,5,2014,20,1
4396,660000.0,3,2.0,2880,5100,1.5,0,0,4,7,2080,800,1926,0,98117,47.6805,-122.385,1820,5100,8,2014,26,1
711,243000.0,3,1.75,1450,12125,1.0,0,0,4,7,1450,0,1981,0,98001,47.3575,-122.28,1210,12125,9,2014,8,0
12461,287500.0,5,2.0,2020,67953,1.5,0,0,4,7,1620,400,1936,0,98178,47.4891,-122.263,1270,13198,3,2015,25,2
16645,367000.0,3,1.0,810,7000,1.0,0,0,3,7,810,0,1968,0,98052,47.6591,-122.134,1820,7589,7,2014,24,3
14112,450000.0,2,1.0,1030,4365,1.0,0,0,3,7,1030,0,1942,0,98117,47.6875,-122.387,1420,4268,9,2014,30,1
568,610000.0,3,1.0,1180,3400,1.5,0,0,3,8,1180,0,1907,0,98109,47.6376,-122.353,1440,3400,10,2014,22,2
4308,386000.0,2,2.5,1620,3196,2.0,0,0,3,8,1620,0,2008,0,98065,47.5167,-121.878,1750,2828,6,2014,17,1
13487,295500.0,3,1.75,1590,41550,1.5,0,0,3,6,1290,300,1933,1989,98168,47.4817,-122.28,2990,6464,9,2014,3,2
10713,655000.0,4,2.5,3340,34238,1.0,0,0,4,8,2060,1280,1977,0,98077,47.7654,-122.076,2400,36590,10,2014,1,2
640,378000.0,2,2.0,1300,3850,1.0,0,0,3,7,800,500,1963,0,98136,47.5395,-122.39,950,5500,3,2015,3,1
18268,230000.0,3,2.25,1830,11331,1.0,0,0,3,7,1250,580,1965,0,98001,47.2899,-122.287,2240,16433,4,2015,27,0
14280,352000.0,3,2.5,2090,3002,2.0,0,0,3,7,1670,420,2005,0,98019,47.745,-121.984,2090,3163,11,2014,18,1
13229,683500.0,3,1.5,1820,5756,1.5,0,0,3,7,1640,180,1946,0,98119,47.6479,-122.367,1760,6169,6,2014,24,1
2845,1400000.0,4,4.5,3080,10550,2.0,0,3,3,8,1940,1140,1976,2007,98040,47.5806,-122.244,2780,10550,10,2014,31,4
5589,1880000.0,3,2.75,2620,17919,1.0,0,1,4,9,2620,0,1949,0,98039,47.6144,-122.228,3400,14400,11,2014,6,3
11825,335000.0,4,2.5,1980,4745,2.0,0,0,3,7,1980,0,2004,0,98038,47.3495,-122.04,1980,4878,10,2014,23,3
5567,302282.0,2,1.0,1095,5120,1.5,0,0,3,7,1095,0,1901,0,98122,47.6058,-122.313,1310,5120,7,2014,22,1
3960,410000.0,2,1.5,1660,4000,1.0,0,0,3,7,1000,660,1950,0,98115,47.6832,-122.304,1570,5500,9,2014,24,2
1830,389950.0,2,1.0,820,4234,1.0,0,1,3,6,820,0,1951,0,98136,47.5294,-122.386,1550,4236,5,2015,6,2
13766,340000.0,3,1.0,980,7228,1.5,0,0,3,7,980,0,1946,0,98133,47.7294,-122.353,1070,7228,9,2014,5,4
10204,654950.0,4,2.5,2790,45902,2.0,0,0,3,9,2790,0,1987,0,98077,47.7674,-122.086,2890,42421,6,2014,3,1
13383,227000.0,3,1.75,1510,9837,2.0,0,0,3,7,1510,0,1989,0,98001,47.2576,-122.255,1470,8054,9,2014,22,0
3983,735000.0,5,2.75,3390,5211,2.0,0,0,3,9,3390,0,2004,0,98075,47.5977,-121.981,3210,5211,5,2014,27,1
18386,390000.0,3,1.75,2092,250905,1.0,0,0,3,7,2092,0,1981,0,98022,47.2664,-122.027,2092,217800,12,2014,23,1
21002,529000.0,2,2.0,1540,9714,2.0,0,0,3,8,1540,0,2008,0,98177,47.7628,-122.359,1840,8179,4,2015,28,1
5427,844000.0,4,3.25,3090,67518,2.0,0,0,3,10,3090,0,1988,0,98053,47.6674,-122.046,3200,65775,8,2014,15,4
8725,155000.0,3,1.0,1250,6250,1.0,0,0,2,7,1030,220,1949,0,98108,47.5292,-122.323,1130,6250,5,2014,29,3
14958,790100.0,4,2.5,2590,9341,2.0,0,0,3,8,2590,0,1985,0,98052,47.6496,-122.114,2280,9510,4,2015,21,1
